externalId,symbol,longName,quantity,multiplier,offset,source,sourceReference
(amount_of_substance_per_time)_per_area:gram-mole_per_second_square_metre,mol/(s.m2),gram-mole per second square metre,(amount of substance per time) per area,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(amount_of_substance_per_time)_per_area:pound-mass-mole_per_hour_square_foot,lbmol/(h.ft2),pound-mass-mole per hour square foot,(amount of substance per time) per area,1.356229899,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(amount_of_substance_per_time)_per_area:pound-mass-mole_per_second_square_foot,lbmol/(s.ft2),pound-mass-mole per second square foot,(amount of substance per time) per area,4882.427636,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(energy_per_mass)_per_time:millisievert_per_hour,mSv/h,millisievert per hour,(energy per mass) per time,2.78E-07,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(energy_per_mass)_per_time:rem_per_hour,rem/h,rem per hour,(energy per mass) per time,2.78E-06,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(energy_per_mass)_per_time:sievert_per_hour,Sv/h,sievert per hour,(energy per mass) per time,0.0002777777778,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(energy_per_mass)_per_time:sievert_per_second,Sv/s,sievert per second,(energy per mass) per time,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(energy_per_mass)_per_time:thousandth_of_irem_per_hour,mrem/h,thousandth of irem per hour,(energy per mass) per time,2.78E-09,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_area:gram_foot_per_cubic_centimetre_second,g.ft/(cm3.s),gram foot per cubic centimetre second,(mass per time) per area,304.8,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_area:gram_metre_per_cubic_centimetre_second,g.m/(cm3.s),gram metre per cubic centimetre second,(mass per time) per area,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_area:kilogram_per_square_metre_second,kg/(m2.s),kilogram per square metre second,(mass per time) per area,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_area:kilopascal_second_per_metre,kPa.s/m,kilopascal second per metre,(mass per time) per area,1000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_area:megapascal_second_per_metre,MPa.s/m,megapascal second per metre,(mass per time) per area,1000000,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_area:pound-mass_per_square_foot_hour,lbm/(ft2.h),pound-mass per square foot hour,(mass per time) per area,0.001356229899,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_area:pound-mass_per_square_foot_second,lbm/(ft2.s),pound-mass per square foot second,(mass per time) per area,4.882427636,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_length:kilogram_per_metre_second,kg/(m.s),kilogram per metre second,(mass per time) per length,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_length:pascal_second,Pa.s,pascal second,(mass per time) per length,None,None,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_length:pound-mass_per_hour_foot,lbm/(ft.h),pound-mass per hour foot,(mass per time) per length,0.0004133788732,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
(mass_per_time)_per_length:pound-mass_per_second_foot,lbm/(ft.s),pound-mass per second foot,(mass per time) per length,1.488163944,0,Energistics,https://www.energistics.org/energistics-unit-of-measure-standard
