externalId,name,symbol,longName,quantity,multiplier,offset,source,sourceReference
api_gravity:degree_api,DEGREE_API,°API,Degree API,API Gravity,0,None,qudt.org,http://qudt.org/vocab/unit/DEGREE_API
absolute_activity:bq-sec-per-m3,BQ-SEC-PER-M3,Bq⋅s/m³,Becquerels second per cubic metre,Absolute Activity,1,None,qudt.org,http://qudt.org/vocab/unit/BQ-SEC-PER-M3
absolute_humidity:grain-per-gal,GRAIN-PER-GAL,grain{UK}/gal,Grain per Gallon,Absolute Humidity,0.017118061,None,qudt.org,http://qudt.org/vocab/unit/GRAIN-PER-GAL
absolute_humidity:oz-per-in3,OZ-PER-IN3,oz/in³{US},Imperial Mass Ounce per Cubic Inch,Absolute Humidity,1729.99404,None,qudt.org,http://qudt.org/vocab/unit/OZ-PER-IN3
absolute_humidity:oz-per-gal,OZ-PER-GAL,oz/gal{US},Imperial Mass Ounce per Gallon,Absolute Humidity,6.23602329,None,qudt.org,http://qudt.org/vocab/unit/OZ-PER-GAL
absolute_humidity:ton_long-per-yd3,TON_LONG-PER-YD3,t{long}/yd³,Long Ton per Cubic Yard,Absolute Humidity,1328.939184,None,qudt.org,http://qudt.org/vocab/unit/TON_LONG-PER-YD3
absolute_humidity:lb-per-gal_uk,LB-PER-GAL_UK,lb/gal{UK},Pound (avoirdupois) Per Gallon (UK),Absolute Humidity,99.77637,None,qudt.org,http://qudt.org/vocab/unit/LB-PER-GAL_UK
absolute_humidity:lb-per-gal_us,LB-PER-GAL_US,lb/gal{US},Pound (avoirdupois) Per Gallon (US),Absolute Humidity,83.0812213,None,qudt.org,http://qudt.org/vocab/unit/LB-PER-GAL_US
absolute_humidity:lb-per-ft3,LB-PER-FT3,lb/ft³,Pound per Cubic Foot,Absolute Humidity,16.01846337,None,qudt.org,http://qudt.org/vocab/unit/LB-PER-FT3
absolute_humidity:lb-per-in3,LB-PER-IN3,lb/in³,Pound per Cubic Inch,Absolute Humidity,27679.90471,None,qudt.org,http://qudt.org/vocab/unit/LB-PER-IN3
absolute_humidity:lb-per-m3,LB-PER-M3,lb/m³,Pound per Cubic Metre,Absolute Humidity,0.45359237,None,qudt.org,http://qudt.org/vocab/unit/LB-PER-M3
absolute_humidity:lb-per-yd3,LB-PER-YD3,lb/yd³,Pound per Cubic Yard,Absolute Humidity,0.5932764213,None,qudt.org,http://qudt.org/vocab/unit/LB-PER-YD3
absolute_humidity:lb-per-gal,LB-PER-GAL,lb/gal,Pound per Gallon,Absolute Humidity,99.7763727,None,qudt.org,http://qudt.org/vocab/unit/LB-PER-GAL
absolute_humidity:ton_short-per-yd3,TON_SHORT-PER-YD3,ton{short}/yd³,Short Ton per Cubic Yard,Absolute Humidity,1186.552843,None,qudt.org,http://qudt.org/vocab/unit/TON_SHORT-PER-YD3
absolute_humidity:slug-per-ft3,SLUG-PER-FT3,slug/ft³,Slug per Cubic Foot,Absolute Humidity,515.3788206,None,qudt.org,http://qudt.org/vocab/unit/SLUG-PER-FT3
absolute_humidity:kilogm-per-m3,KiloGM-PER-M3,kg/m³,kilogram per cubic metre,Absolute Humidity,1,None,qudt.org,http://qudt.org/vocab/unit/KiloGM-PER-M3
absolute_humidity:milligm-per-decil,MilliGM-PER-DeciL,mg/dL,milligrams per decilitre,Absolute Humidity,0.01,None,qudt.org,http://qudt.org/vocab/unit/MilliGM-PER-DeciL
absorbed_dose:microgray,MicroGRAY,µGy,MicroGray,Absorbed Dose,1.00E-06,None,qudt.org,http://qudt.org/vocab/unit/MicroGRAY
absorbed_dose:millirad_r,MilliRAD_R,mrad,MilliRad,Absorbed Dose,1.00E-05,None,qudt.org,http://qudt.org/vocab/unit/MilliRAD_R
absorbed_dose:milligray,MilliGRAY,mGy,Milligray,Absorbed Dose,0.001,None,qudt.org,http://qudt.org/vocab/unit/MilliGRAY
absorbed_dose:rad_r,RAD_R,rad,Rad,Absorbed Dose,0.01,None,qudt.org,http://qudt.org/vocab/unit/RAD_R
absorbed_dose:gray,GRAY,Gy,gray,Absorbed Dose,1,None,qudt.org,http://qudt.org/vocab/unit/GRAY
absorbed_dose_rate:erg-per-gm-sec,ERG-PER-GM-SEC,erg/(g⋅s),Erg Per Gram Second,Absorbed Dose Rate,0.0001,None,qudt.org,http://qudt.org/vocab/unit/ERG-PER-GM-SEC
